date,NDVI_mean,NDVI_std,MSI_mean,MSI_std,CI_RE_mean,CI_RE_std
2019-08-05,0.5180806071892405,0.06359523345068013,1.1712088919649728,0.12400663257100412,1.0529348301786081,0.18944005480956708
2019-08-10,0.509425626911777,0.05309259404742178,1.116097844572304,0.10785451636474772,0.9873396188662279,0.16159033772385778
2019-08-15,0.496484009812543,0.0411538299565136,1.1063829633266187,0.0748959707950605,1.0088802224569644,0.1232237217102002
2019-08-20,0.5162236714271263,0.03266877465708377,1.16894074961616,0.08375422541177834,0.9195813071788683,0.12705491963033325
2020-01-12,0.5471878815997971,0.10105024654426971,1.2166183854350248,0.17473188553947913,1.1483998456876645,0.39240524741093297
2020-01-27,0.6102144952142845,0.054392727466247286,1.0569395122736929,0.1327860191311344,1.3163702805452902,0.23751300268504702
2020-02-01,0.6718484527912879,0.05264331706498256,1.016594071734617,0.10289994513471161,1.541343019106061,0.2544968515317485
2020-02-11,0.6366163171430412,0.05996532278757866,1.0768768739314967,0.13673430407280582,1.367606395290069,0.3103278018417911
2020-02-16,0.5635287902386243,0.04316944032718462,1.0941106796912252,0.07979657934666014,1.1214524994537194,0.14907328378389234
2020-03-22,0.49541170054412986,0.050796389448435696,1.2713055488384741,0.12424813968056427,0.9283562657623957,0.17592556242025797
2020-04-01,0.5305221413197082,0.04753190333206336,1.2701286825987599,0.13420179695872275,0.9249391244246674,0.1615625264949693
2020-04-06,0.519481329029995,0.05042613553276512,1.2372293348336791,0.13175435154730014,0.9644322145277877,0.1754265018520417
2020-04-16,0.4913443139066059,0.042851927121131284,1.2587195726070552,0.10794038028144518,0.9033815823109976,0.1376679490490968
2020-04-26,0.4254770500257865,,1.0180897250361796,,0.8208168642951252,
2020-05-01,0.5144385792469652,0.05299761475938561,1.2492354718736176,0.1138438713468353,0.9881053049291456,0.17427251008069475
2020-05-06,0.4856098764476648,0.05252423872071595,1.2961457176760791,0.11563457591510995,0.8539287526564494,0.14989902772229935
2020-05-16,0.45467642691749177,0.050794860284600334,1.2450275980056134,0.085952135643434,0.7476683856166233,0.12150671834177426
