Date;rr;glot;tn;tm;tx;etp
2019-08-31;0.0;48699;17.519354838709678;21.183870967741935;27.261290322580646;3.258709677419355
2019-09-30;11.4;53419;18.046666666666667;21.9;27.956666666666667;3.775
2019-10-31;19.3;58127;19.438709677419357;23.52258064516129;29.76451612903226;4.236129032258065
2019-11-30;15.9;59980;21.15;25.046666666666667;31.35;4.529333333333333
2019-12-31;39.4;74659;23.029032258064515;27.14516129032258;33.20967741935484;5.257096774193548
2020-01-31;131.1;56082;22.56451612903226;26.10967741935484;31.106451612903225;4.075806451612903
2020-02-29;39.3;58859;23.279310344827586;26.913793103448278;31.910344827586208;4.296896551724138
2020-03-31;40.199999999999996;51051;22.816129032258065;26.425806451612903;32.116129032258065;3.8280645161290323
2020-04-30;44.1;52070;21.273333333333333;25.7;30.683333333333334;3.5313333333333334
2020-05-31;3.8000000000000003;42810;19.33225806451613;22.9;29.151612903225807;3.138387096774194
2020-06-30;4.3;39821;17.686666666666667;21.353333333333335;27.276666666666664;2.6936666666666667
2020-07-31;1.9;38535;17.241935483870968;20.519354838709678;26.35483870967742;2.6374193548387095
2020-08-31;0.5;47329;17.02258064516129;20.706451612903226;26.51290322580645;3.2358064516129033
2020-09-30;7.3;52043;17.66;21.279999999999998;27.063333333333333;3.6633333333333336
2020-10-31;22.5;57534;19.299999999999997;23.05483870967742;29.103225806451615;4.204193548387098
2020-11-30;11.2;59903;19.39333333333333;23.456666666666667;29.17;4.376333333333333
2020-12-31;16.2;64675;22.141935483870967;25.932258064516127;32.08387096774194;4.768709677419356
2021-01-31;65.2;59156;23.041935483870965;26.55483870967742;32.44193548387097;4.571935483870967
2021-02-28;70.2;52508;22.99642857142857;26.70357142857143;32.94642857142857;4.53
2021-03-31;119.60000000000001;56234;22.325806451612905;26.02258064516129;32.05161290322581;4.239354838709678
2021-04-30;59.5;39345;22.07;25.09333333333333;30.17;3.1366666666666663
2021-05-31;22.7;43370;19.406451612903226;23.187096774193545;28.861290322580647;3.044193548387097
2021-06-30;31.2;38613;18.040000000000003;21.583333333333332;27.226666666666667;2.7216666666666667
2021-07-31;5.5;41953;17.09032258064516;21.42258064516129;26.83225806451613;2.5406451612903225
2021-08-31;10.2;49769;16.683870967741935;21.703225806451613;26.79032258064516;2.848064516129032
2021-09-30;3.4;57804;17.44;21.98;27.459999999999997;3.7583333333333333
2021-10-31;14.299999999999999;59032;19.38064516129032;23.561290322580643;28.75483870967742;3.8522580645161293
2021-11-30;22.4;58620;20.376666666666665;24.426666666666666;30.436666666666667;3.993333333333333
2021-12-31;22.0;63799;22.31935483870968;26.061290322580643;32.148387096774194;4.662258064516129
2022-01-31;145.7;56511;22.480645161290322;26.041935483870965;31.30322580645161;4.02258064516129
2022-02-28;135.0;54895;23.685714285714287;26.842857142857145;31.489285714285717;4.342142857142857
2022-03-31;46.7;58229;24.048387096774192;26.396774193548385;31.712903225806453;3.8974193548387093
2022-04-30;42.9;49195;22.64;25.46333333333333;31.080000000000002;3.342
2022-05-31;10.5;44195;19.361290322580647;23.916129032258063;28.787096774193547;2.6596774193548387
2022-06-30;23.0;39830;17.466666666666665;22.366666666666667;27.233333333333334;2.3
2022-07-31;8.3;42779;16.674193548387095;21.574193548387097;26.506451612903227;2.347096774193548
2022-08-31;10.299999999999999;49541;16.638709677419353;21.738709677419354;26.738709677419354;2.8177419354838706
2022-09-30;7.0;55950;17.233333333333334;22.3;27.366666666666667;3.4466666666666668
2022-10-31;9.6;61688;18.483870967741936;23.54516129032258;28.60967741935484;3.920967741935484
2022-11-30;29.0;62030;20.0;25.0;30.033333333333335;4.23
2022-12-31;68.3;64858;21.580645161290324;26.51290322580645;31.44516129032258;4.437741935483871
2023-01-31;136.1;61803;22.5;27.103225806451615;31.641935483870967;4.267741935483872
2023-02-28;119.6;54862;22.54285714285714;27.107142857142858;31.67142857142857;4.167142857142857
2023-03-31;112.7;56445;21.887096774193548;26.65806451612903;31.361290322580643;3.7703225806451615
2023-04-30;58.0;49580;20.933333333333334;25.8;30.666666666666668;3.2800000000000002
2023-05-31;23.400000000000002;43981;19.116129032258065;23.916129032258063;28.716129032258067;2.6274193548387097
2023-06-30;23.0;39830;17.466666666666665;22.366666666666667;27.233333333333334;2.3
2023-07-31;8.3;42779;18.0;21.76774193548387;26.716129032258067;2.347096774193548
2023-08-31;10.299999999999999;49541;18.85483870967742;22.248387096774195;27.187096774193545;2.8177419354838706
2023-09-30;7.0;55950;19.31;23.09;28.253333333333334;3.4466666666666668
2023-10-31;9.6;61688;20.567741935483873;24.241935483870968;29.467741935483872;3.920967741935484
2023-11-30;55.1;62030;20.813333333333333;24.863333333333333;29.763333333333332;4.23
2023-12-31;28.3;64858;22.41290322580645;26.18064516129032;31.322580645161292;4.437741935483871
2024-01-31;89.69999999999999;61803;23.322580645161292;27.151612903225807;31.506451612903227;4.267741935483872
2024-02-29;53.7;56786;22.596551724137928;26.46206896551724;31.53103448275862;4.163448275862069
2024-03-31;43.0;56445;22.67096774193548;26.345161290322583;31.603225806451615;3.7703225806451615
2024-04-30;18.5;49580;22.303333333333335;25.673333333333336;30.64;3.2800000000000002
2024-05-31;14.4;43981;20.296774193548387;23.883870967741935;29.403225806451612;2.6274193548387097
2024-06-30;23.0;39830;18.316666666666666;21.9;27.06;2.3
2024-07-31;8.3;41576;17.425806451612903;21.200000000000003;26.84193548387097;2.327741935483871
2024-08-31;10.299999999999999;24273;17.706451612903226;21.419354838709676;26.583870967741937;2.3651612903225807
